2020-12-13T17:21:02.264 (priority normal) -> ---BEGIN LOG---
2020-12-13T17:21:02.317 (cc of screen   ) -> nullPlayer 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//
2020-12-13T17:21:33.199 (cc of screen   ) -> nullPlayer 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//Card to play on: red 5//Player 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The cards you can play are: blue 5 and red 4.//Will you (d)raw or (p)lay a card? P1 played blue 5//Card to play on: blue 5//Player 2 Contents of hand: blue 4, blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: blue 4, blue 6, and wild.//Will you (d)raw or (p)lay a card? P2 played blue 4//Card to play on: blue 4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The only card you can play is: red 4.//Will you (d)raw or (p)lay a card? P1 played red 4//Card to play on: red 4//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: green 4, red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now blue//Card to play on: wild//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 0.//Player 1 Contents of hand: blue 0, green 7, green 8, green 9, green +2, yellow 0//P1 played blue 0//Card to play on: blue 0//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip//P2: The only card you can play is: blue 6.//Will you (d)raw or (p)lay a card? P2 played blue 6//Card to play on: blue 6//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a +4.//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0, +4//You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P1 played +4//The new color is now red//Card to play on: +4//Player 2 Contents of hand: green 4, red 3, red 9, yellow skip//P2: Automatically drew 4 cards, given no other option.//Card to play on: +4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 4.//Drew a red reverse.//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, red reverse, yellow 0//P1 played red reverse//Order of play has been reversed.//Card to play on: red reverse//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a green 5.//Drew a yellow 6.//Drew a blue 0.//Drew a blue +2.//Drew a blue 9.//Drew a green 3.//Drew a blue 9.//Drew a blue +2.//Drew a red 5.//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, red 5, yellow 0, yellow 6//P1 played red 5//Card to play on: red 5//Player 2 Contents of hand: green 2, green 4, red 3, red 9, yellow 2, yellow skip, yellow reverse, wild//P2: The cards you can play are: red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now green//Card to play on: wild//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, yellow 0, yellow 6//P1: The cards you can play are: green 3, green 5, green 7, green 8, green 9, and green +2.//
2020-12-13T17:21:33.201 (priority  debug) -> Supplied regex: "\b(d|draw)\b|(\b((p|play){1}\s*(((g|green)\s*([35789]|(\+2|\+)){1})))\b)"
2020-12-13T17:21:35.318 (priority  debug) -> rawish response is "pg5"
2020-12-13T17:21:35.319 (priority  debug) -> response was accepted as a regex match, returning as simplified version
2020-12-13T17:21:35.320 (priority  debug) -> simplifyUserResponse() received "pg5" as the only argument, proceeding with abbreviations and removing whitespace.
2020-12-13T17:21:35.321 (priority  debug) -> simplifyUserResponse() has finished abbreviating and will be returning a final result of "pg5"
2020-12-13T17:21:35.322 (priority  debug) -> P1's response: "pg5"
2020-12-13T17:21:35.323 (cc of screen   ) -> nullPlayer 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//Card to play on: red 5//Player 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The cards you can play are: blue 5 and red 4.//Will you (d)raw or (p)lay a card? P1 played blue 5//Card to play on: blue 5//Player 2 Contents of hand: blue 4, blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: blue 4, blue 6, and wild.//Will you (d)raw or (p)lay a card? P2 played blue 4//Card to play on: blue 4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The only card you can play is: red 4.//Will you (d)raw or (p)lay a card? P1 played red 4//Card to play on: red 4//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: green 4, red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now blue//Card to play on: wild//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 0.//Player 1 Contents of hand: blue 0, green 7, green 8, green 9, green +2, yellow 0//P1 played blue 0//Card to play on: blue 0//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip//P2: The only card you can play is: blue 6.//Will you (d)raw or (p)lay a card? P2 played blue 6//Card to play on: blue 6//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a +4.//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0, +4//You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P1 played +4//The new color is now red//Card to play on: +4//Player 2 Contents of hand: green 4, red 3, red 9, yellow skip//P2: Automatically drew 4 cards, given no other option.//Card to play on: +4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 4.//Drew a red reverse.//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, red reverse, yellow 0//P1 played red reverse//Order of play has been reversed.//Card to play on: red reverse//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a green 5.//Drew a yellow 6.//Drew a blue 0.//Drew a blue +2.//Drew a blue 9.//Drew a green 3.//Drew a blue 9.//Drew a blue +2.//Drew a red 5.//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, red 5, yellow 0, yellow 6//P1 played red 5//Card to play on: red 5//Player 2 Contents of hand: green 2, green 4, red 3, red 9, yellow 2, yellow skip, yellow reverse, wild//P2: The cards you can play are: red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now green//Card to play on: wild//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, yellow 0, yellow 6//P1: The cards you can play are: green 3, green 5, green 7, green 8, green 9, and green +2.//Will you (d)raw or (p)lay a card? P1 played green 5//
2020-12-13T17:21:35.324 (priority normal) -> Assigning next player
2020-12-13T17:21:35.325 (priority  debug) -> Current player 0 indexed is 0
2020-12-13T17:21:35.326 (priority  debug) -> Current player 0 indexed is now 1
2020-12-13T17:21:35.327 (priority  debug) -> Current player 0 indexed is now 1
2020-12-13T17:21:35.329 (priority  debug) -> Options for P2 are "green 2 green 4 ".
2020-12-13T17:21:35.331 (cc of screen   ) -> nullPlayer 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//Card to play on: red 5//Player 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The cards you can play are: blue 5 and red 4.//Will you (d)raw or (p)lay a card? P1 played blue 5//Card to play on: blue 5//Player 2 Contents of hand: blue 4, blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: blue 4, blue 6, and wild.//Will you (d)raw or (p)lay a card? P2 played blue 4//Card to play on: blue 4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The only card you can play is: red 4.//Will you (d)raw or (p)lay a card? P1 played red 4//Card to play on: red 4//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: green 4, red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now blue//Card to play on: wild//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 0.//Player 1 Contents of hand: blue 0, green 7, green 8, green 9, green +2, yellow 0//P1 played blue 0//Card to play on: blue 0//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip//P2: The only card you can play is: blue 6.//Will you (d)raw or (p)lay a card? P2 played blue 6//Card to play on: blue 6//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a +4.//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0, +4//You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P1 played +4//The new color is now red//Card to play on: +4//Player 2 Contents of hand: green 4, red 3, red 9, yellow skip//P2: Automatically drew 4 cards, given no other option.//Card to play on: +4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 4.//Drew a red reverse.//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, red reverse, yellow 0//P1 played red reverse//Order of play has been reversed.//Card to play on: red reverse//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a green 5.//Drew a yellow 6.//Drew a blue 0.//Drew a blue +2.//Drew a blue 9.//Drew a green 3.//Drew a blue 9.//Drew a blue +2.//Drew a red 5.//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, red 5, yellow 0, yellow 6//P1 played red 5//Card to play on: red 5//Player 2 Contents of hand: green 2, green 4, red 3, red 9, yellow 2, yellow skip, yellow reverse, wild//P2: The cards you can play are: red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now green//Card to play on: wild//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, yellow 0, yellow 6//P1: The cards you can play are: green 3, green 5, green 7, green 8, green 9, and green +2.//Will you (d)raw or (p)lay a card? P1 played green 5//Card to play on: green 5//Player 2 Contents of hand: green 2, green 4, red 3, red 9, yellow 2, yellow skip, yellow reverse//P2: The cards you can play are: green 2 and green 4.//
2020-12-13T17:21:35.332 (priority  debug) -> Supplied regex: "\b(d|draw)\b|(\b((p|play){1}\s*(((g|green)\s*([24]){1})))\b)"
2020-12-13T17:21:37.061 (priority  debug) -> rawish response is "pg2"
2020-12-13T17:21:37.062 (priority  debug) -> response was accepted as a regex match, returning as simplified version
2020-12-13T17:21:37.063 (priority  debug) -> simplifyUserResponse() received "pg2" as the only argument, proceeding with abbreviations and removing whitespace.
2020-12-13T17:21:37.065 (priority  debug) -> simplifyUserResponse() has finished abbreviating and will be returning a final result of "pg2"
2020-12-13T17:21:37.066 (priority  debug) -> P2's response: "pg2"
2020-12-13T17:21:37.067 (cc of screen   ) -> nullPlayer 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//Card to play on: red 5//Player 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The cards you can play are: blue 5 and red 4.//Will you (d)raw or (p)lay a card? P1 played blue 5//Card to play on: blue 5//Player 2 Contents of hand: blue 4, blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: blue 4, blue 6, and wild.//Will you (d)raw or (p)lay a card? P2 played blue 4//Card to play on: blue 4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The only card you can play is: red 4.//Will you (d)raw or (p)lay a card? P1 played red 4//Card to play on: red 4//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: green 4, red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now blue//Card to play on: wild//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 0.//Player 1 Contents of hand: blue 0, green 7, green 8, green 9, green +2, yellow 0//P1 played blue 0//Card to play on: blue 0//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip//P2: The only card you can play is: blue 6.//Will you (d)raw or (p)lay a card? P2 played blue 6//Card to play on: blue 6//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a +4.//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0, +4//You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P1 played +4//The new color is now red//Card to play on: +4//Player 2 Contents of hand: green 4, red 3, red 9, yellow skip//P2: Automatically drew 4 cards, given no other option.//Card to play on: +4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 4.//Drew a red reverse.//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, red reverse, yellow 0//P1 played red reverse//Order of play has been reversed.//Card to play on: red reverse//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a green 5.//Drew a yellow 6.//Drew a blue 0.//Drew a blue +2.//Drew a blue 9.//Drew a green 3.//Drew a blue 9.//Drew a blue +2.//Drew a red 5.//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, red 5, yellow 0, yellow 6//P1 played red 5//Card to play on: red 5//Player 2 Contents of hand: green 2, green 4, red 3, red 9, yellow 2, yellow skip, yellow reverse, wild//P2: The cards you can play are: red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now green//Card to play on: wild//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, yellow 0, yellow 6//P1: The cards you can play are: green 3, green 5, green 7, green 8, green 9, and green +2.//Will you (d)raw or (p)lay a card? P1 played green 5//Card to play on: green 5//Player 2 Contents of hand: green 2, green 4, red 3, red 9, yellow 2, yellow skip, yellow reverse//P2: The cards you can play are: green 2 and green 4.//Will you (d)raw or (p)lay a card? P2 played green 2//
2020-12-13T17:21:37.068 (priority normal) -> Assigning next player
2020-12-13T17:21:37.069 (priority  debug) -> Current player 0 indexed is 1
2020-12-13T17:21:37.070 (priority  debug) -> Current player 0 indexed is now 2
2020-12-13T17:21:37.071 (priority  debug) -> Current player 0 indexed is now 0
2020-12-13T17:21:37.072 (priority  debug) -> Options for P1 are "green 3 green 7 green 8 green 9 green +2 ".
2020-12-13T17:21:37.075 (cc of screen   ) -> nullPlayer 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//Card to play on: red 5//Player 1 Contents of hand: blue 5, green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The cards you can play are: blue 5 and red 4.//Will you (d)raw or (p)lay a card? P1 played blue 5//Card to play on: blue 5//Player 2 Contents of hand: blue 4, blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: blue 4, blue 6, and wild.//Will you (d)raw or (p)lay a card? P2 played blue 4//Card to play on: blue 4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, red 4, yellow 0//P1: The only card you can play is: red 4.//Will you (d)raw or (p)lay a card? P1 played red 4//Card to play on: red 4//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip, wild//P2: The cards you can play are: green 4, red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now blue//Card to play on: wild//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 0.//Player 1 Contents of hand: blue 0, green 7, green 8, green 9, green +2, yellow 0//P1 played blue 0//Card to play on: blue 0//Player 2 Contents of hand: blue 6, green 4, red 3, red 9, yellow skip//P2: The only card you can play is: blue 6.//Will you (d)raw or (p)lay a card? P2 played blue 6//Card to play on: blue 6//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a +4.//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0, +4//You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P1 played +4//The new color is now red//Card to play on: +4//Player 2 Contents of hand: green 4, red 3, red 9, yellow skip//P2: Automatically drew 4 cards, given no other option.//Card to play on: +4//Player 1 Contents of hand: green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a blue 4.//Drew a red reverse.//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, red reverse, yellow 0//P1 played red reverse//Order of play has been reversed.//Card to play on: red reverse//Player 1 Contents of hand: blue 4, green 7, green 8, green 9, green +2, yellow 0//P1: You cannot play any cards. You must draw until you have a playable card.//Drew a green 5.//Drew a yellow 6.//Drew a blue 0.//Drew a blue +2.//Drew a blue 9.//Drew a green 3.//Drew a blue 9.//Drew a blue +2.//Drew a red 5.//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, red 5, yellow 0, yellow 6//P1 played red 5//Card to play on: red 5//Player 2 Contents of hand: green 2, green 4, red 3, red 9, yellow 2, yellow skip, yellow reverse, wild//P2: The cards you can play are: red 3, red 9, and wild.//Will you (d)raw or (p)lay a card? You've played a wild card which means you get to choose the new color to match.//Enter the new color, (b)lue, (g)reen, (r)ed, or (y)ellow: //P2 played wild//The new color is now green//Card to play on: wild//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 5, green 7, green 8, green 9, green +2, yellow 0, yellow 6//P1: The cards you can play are: green 3, green 5, green 7, green 8, green 9, and green +2.//Will you (d)raw or (p)lay a card? P1 played green 5//Card to play on: green 5//Player 2 Contents of hand: green 2, green 4, red 3, red 9, yellow 2, yellow skip, yellow reverse//P2: The cards you can play are: green 2 and green 4.//Will you (d)raw or (p)lay a card? P2 played green 2//Card to play on: green 2//Player 1 Contents of hand: blue 0, blue 4, blue 9, blue 9, blue +2, blue +2, green 3, green 7, green 8, green 9, green +2, yellow 0, yellow 6//P1: The cards you can play are: green 3, green 7, green 8, green 9, and green +2.//
